Folder,11152024,11192024,11252024,11262024,11272024,12032024,12042024,12052024,12062024,12072024,12092024,12102024,12112024
Start Time,15_59_00,13_11_10,10_08_30,10_00_00,13_59_30,09_52_30,15_13_30,15_34_15,10_48_00,16_08_30,11_04_00,19_09_45,16_59_15
Adsorption 1,267706.85,9029.8,19843,13790,430900,26316,5639,22,6076,8035,14845,40.2,61530
Desorption 1,274391.7,13801.8,30388,19936,437218,49126,12425,6171,12217,14172,19888,4269.4,69365.9
Adsorption 2,281044.4,14644.6,36254,22565,442943,55265,19197,12304,18421,20307,24782,8498.9,77197.7
Desorption 2,287728.3,17821.6,40065,26372,448763,61404,25967,18442,24490,26444,29680,12728.7,85026.6
Adsorption 3,294381.3,20983.6,43875,30180,454580,67536,32740,24578,30623,32579,34576,16953.5,92858
Desorption 3,301063.1,24160.3,47687.3,33987,460400,73677,39511,30714,36760,38715,39472,21184.1,100689.3
Adsorption 4,307718.9,27330.8,51488,37793,466216,79811,46281,36848,42895,44849,44366,25411.2,108520.5
Desorption 4,314399.8,30501.4,55292,41601,472034,,53053,42985,49032,50986,49263,29641.4,
Adsorption 5,321060.2,33667,59101,45409,477852,,59824,49118,55166,57119,54157,33867.2,
Desorption 5,327728.3,36830.1,62905,49215,483670,,66588,55256,61301,63256,59056,38097.8,
Adsorption 6,,39998.2,66714,53021,489486,,,,67435,69389,63948.4,42323.8,
Desorption 6,,43179.1,70519,56827,495305,,,,73572,75526,68846,46554.4,
Adsorption 7,,46342.9,74330,60633,,,,,79705,81658,73739.4,50779.8,
Desorption 7,,49513.2,78142,64439,,,,,85841,87795,78638,55009.2,
Adsorption 8,,52685.1,,,,,,,91975,93929,,59235,
Desorption 8,,55853,,,,,,,98112,100066,,63465.4,
Adsorption 9,,59024.2,,,,,,,,,,,
Desorption 9,,62190.3,,,,,,,,,,,
Adsorption 10,,65365,,,,,,,,,,,
Desorption 10,,68534.7,,,,,,,,,,,
Adsorption 11,,71699.6,,,,,,,,,,,
Desorption 11,,74860.6,,,,,,,,,,,
